window,name,ete,dd
视图1 一月纯空仓段 2024-01-02~01-31,小市值100基准,-22.39485895665033,22.64261495402171
视图1 一月纯空仓段 2024-01-02~01-31,小市值50,-22.524928091136687,22.887090214915318
视图1 一月纯空仓段 2024-01-02~01-31,小市值低波50,-22.80286182559995,22.974501146246396
视图1 一月纯空仓段 2024-01-02~01-31,择时低波50,-0.38362943510572567,0.38362943510572567
视图1 一月纯空仓段 2024-01-02~01-31,★旗舰双周低波50,-0.45592778093750397,0.45592778093750397
视图1 一月纯空仓段 2024-01-02~01-31,保留六月,-0.45592778093750397,0.45592778093750397
视图1 一月纯空仓段 2024-01-02~01-31,中证1000,-18.270934021531303,18.270934021531303
视图1 一月纯空仓段 2024-01-02~01-31,中证2000,-21.051883309160747,21.051883309160747
视图2 二月再入场   2024-02-01~02-29,小市值100基准,-5.522829249914018,30.724600230650168
视图2 二月再入场   2024-02-01~02-29,小市值50,-6.03860636488548,31.949098486065918
视图2 二月再入场   2024-02-01~02-29,小市值低波50,-7.136415982262012,30.41057264722361
视图2 二月再入场   2024-02-01~02-29,择时低波50,-6.927350977157898,30.253905056384966
视图2 二月再入场   2024-02-01~02-29,★旗舰双周低波50,-7.964151313820034,30.77717393386763
视图2 二月再入场   2024-02-01~02-29,保留六月,-7.964151313820089,30.77717393386766
视图2 二月再入场   2024-02-01~02-29,中证1000,12.507490089505113,9.628034971637089
视图2 二月再入场   2024-02-01~02-29,中证2000,7.6979321938798195,14.265335449433191
视图3 峰→回本弧   2023-12-01~06-30,小市值100基准,-32.86817812469951,48.18256684810156
视图3 峰→回本弧   2023-12-01~06-30,小市值50,-35.03770307757459,49.315849757638745
视图3 峰→回本弧   2023-12-01~06-30,小市值低波50,-36.18452127636249,48.2348259725771
视图3 峰→回本弧   2023-12-01~06-30,择时低波50,-8.802826375752659,30.666516541846043
视图3 峰→回本弧   2023-12-01~06-30,★旗舰双周低波50,-5.227144707476228,31.092780028653177
视图3 峰→回本弧   2023-12-01~06-30,保留六月,-7.720546487695246,31.0927800286532
视图3 峰→回本弧   2023-12-01~06-30,中证1000,-20.131383898763655,29.966822461999097
视图3 峰→回本弧   2023-12-01~06-30,中证2000,-25.696357917313428,35.52630141911811
对照 05_oos 窗口   2024-01-02~02-08,小市值100基准,-44.01091345574299,48.18256684810156
对照 05_oos 窗口   2024-01-02~02-08,小市值50,-45.10490483064137,49.315849757638745
对照 05_oos 窗口   2024-01-02~02-08,小市值低波50,-43.990232655631935,48.2348259725771
对照 05_oos 窗口   2024-01-02~02-08,择时低波50,-24.991579461628856,30.521471606425465
对照 05_oos 窗口   2024-01-02~02-08,★旗舰双周低波50,-25.9480265177668,31.092780028653177
对照 05_oos 窗口   2024-01-02~02-08,保留六月,-25.94802651776682,31.0927800286532
对照 05_oos 窗口   2024-01-02~02-08,中证1000,-14.717022730298247,26.673727486952735
对照 05_oos 窗口   2024-01-02~02-08,中证2000,-27.566757420361398,33.397294441382684
