,IS_ann,IS_turn,IS_win,IS_sp,IS_bp,OOS_ann,OOS_turn,OOS_win,OOS_sp,OOS_bp
小市值100基准,29.707110325733233,42.05031416787395,70.27027027027027,63.03441370203089,54.734155702424125,29.58126964194627,41.42875340888013,68.0,63.7393074666391,53.72872405787022
小市值50,33.39033326044336,48.49252604365136,72.2972972972973,63.78435304771847,54.734155702424125,33.32942915143058,45.59450175965617,68.0,63.972471112326915,53.72872405787022
小市值低波50,32.66789894607081,51.8172680727246,75.0,63.55849059206182,54.734155702424125,26.887060400755438,48.515625295888555,68.0,62.90821161057685,53.72872405787022
择时小市值100,39.44772488972923,48.019876596568025,75.40983606557377,64.56518502553531,54.734155702424125,31.878212573146246,43.953595107809036,69.04761904761905,64.62552325225316,53.72872405787022
择时小市值50,42.43817876113849,56.67056149091134,77.04918032786885,65.33311003229862,54.734155702424125,36.9895243846317,51.67781204280432,71.42857142857143,65.42746231307041,53.72872405787022
择时低波50,39.690973709852415,57.194537910315915,78.68852459016394,64.55977426150228,54.734155702424125,25.965130840428998,54.50557676281862,69.04761904761905,63.12945867068487,53.72872405787022
低波50月末调仓,38.986377599628064,60.24985163426676,72.95081967213115,64.24380526907709,54.878192635525494,26.41155400965647,55.6999257622835,71.42857142857143,63.30265257205626,53.82210892401906
跌停惩罚择时100,39.08524335236798,48.019876596568025,75.40983606557377,64.56518502553531,54.734155702424125,20.802846798419683,42.29865898746814,69.04761904761905,64.62552325225316,53.72872405787022
单周+惩罚择时100,43.04866228600868,22.791915943620044,64.35272045028142,61.52414238958875,55.071231034828315,34.658863607910575,20.644011280230067,67.77777777777779,61.492597519875936,53.6276033784878
双周+惩罚择时100,42.704050950503,31.85551249135935,67.3913043478261,62.81538175163932,55.06728897151141,25.77496764903424,29.552570027338266,69.79166666666666,62.75064749876352,53.71287172610406
双月+惩罚择时100,36.72109220301647,93.40775371403065,72.97297297297297,65.99127646420449,55.323499568955285,19.73156317664333,67.67443427373809,75.0,65.36085867983826,54.71210928144038
季度+惩罚择时100,31.20620188362093,100.0,77.55102040816327,66.98151932726091,55.36720062378874,22.235707100274162,100.0,75.0,69.7219863396541,55.16128933938933
★旗舰双周低波50,44.22636337463102,39.127495082908695,64.50381679389314,62.84197907010524,54.96640121579882,18.57154745227172,37.61263378185606,70.45454545454545,61.427765000004754,53.531809926820095
费用测试(千十),37.79395756149864,39.127495082908695,62.213740458015266,62.84197907010524,54.96640121579882,13.117605628980433,37.61263378185606,69.31818181818183,61.427765000004754,53.531809926820095
保留六月,42.862258054108125,38.05217706040144,64.85507246376811,62.883344533577315,55.06728897151141,17.976887510631045,34.639698765389326,67.70833333333334,60.965459907181376,53.71287172610406
