date,order_book_id,event,reason
2013-01-04,002057.XSHE,卖出,市值上涨
2013-01-04,002098.XSHE,卖出,市值上涨
2013-01-04,002319.XSHE,卖出,涨停
2013-01-04,002579.XSHE,卖出,市值上涨
2013-01-04,300018.XSHE,卖出,市值上涨
2013-01-04,300042.XSHE,卖出,市值上涨
2013-01-04,300092.XSHE,卖出,涨停
2013-01-04,300167.XSHE,卖出,市值上涨
2013-01-04,300213.XSHE,卖出,市值上涨
2013-01-04,300231.XSHE,卖出,市值上涨
2013-01-04,300281.XSHE,卖出,市值上涨
2013-01-04,300308.XSHE,卖出,市值上涨
2013-01-04,300330.XSHE,卖出,市值上涨
2013-01-04,300354.XSHE,卖出,市值上涨
2013-01-04,600984.XSHG,卖出,涨停
2013-02-01,000810.XSHE,卖出,停牌
2013-02-01,002076.XSHE,卖出,市值上涨
2013-02-01,002125.XSHE,卖出,市值上涨
2013-02-01,002143.XSHE,卖出,市值上涨
2013-02-01,002289.XSHE,卖出,涨停
2013-02-01,002402.XSHE,卖出,市值上涨
2013-02-01,002634.XSHE,卖出,市值上涨
2013-02-01,300056.XSHE,卖出,市值上涨
2013-02-01,300095.XSHE,卖出,市值上涨
2013-02-01,300141.XSHE,卖出,市值上涨
2013-02-01,300151.XSHE,卖出,涨停
2013-02-01,300227.XSHE,卖出,市值上涨
2013-02-01,300268.XSHE,卖出,涨停
2013-02-01,300280.XSHE,卖出,涨停
2013-02-01,300329.XSHE,卖出,市值上涨
2013-02-01,600241.XSHG,卖出,市值上涨
2013-02-01,600355.XSHG,卖出,市值上涨
2013-02-01,600593.XSHG,卖出,市值上涨
2013-02-01,600992.XSHG,卖出,市值上涨
2013-03-01,000638.XSHE,卖出,市值上涨
2013-03-01,002270.XSHE,卖出,市值上涨
2013-03-01,002473.XSHE,卖出,涨停
2013-03-01,002590.XSHE,卖出,市值上涨
2013-03-01,300038.XSHE,卖出,市值上涨
2013-03-01,300109.XSHE,卖出,涨停
2013-03-01,300167.XSHE,卖出,市值上涨
2013-03-01,300231.XSHE,卖出,市值上涨
2013-03-01,300232.XSHE,卖出,市值上涨
2013-03-01,300243.XSHE,卖出,涨停
2013-03-01,300248.XSHE,卖出,市值上涨
2013-03-01,300276.XSHE,卖出,市值上涨
2013-03-01,300290.XSHE,卖出,市值上涨
2013-03-01,300313.XSHE,卖出,市值上涨
2013-03-01,300327.XSHE,卖出,市值上涨
2013-03-01,600419.XSHG,卖出,停牌
2013-03-01,600661.XSHG,卖出,市值上涨
2013-04-01,000526.XSHE,卖出,停牌
2013-04-01,000615.XSHE,卖出,市值上涨
2013-04-01,002289.XSHE,卖出,市值上涨
2013-04-01,002615.XSHE,卖出,市值上涨
2013-04-01,300067.XSHE,卖出,市值上涨
2013-04-01,300121.XSHE,卖出,市值上涨
2013-04-01,300225.XSHE,卖出,市值上涨
2013-04-01,300236.XSHE,卖出,停牌
2013-04-01,300311.XSHE,卖出,市值上涨
2013-04-01,300329.XSHE,卖出,市值上涨
2013-04-01,600136.XSHG,卖出,市值上涨
2013-04-01,600647.XSHG,卖出,市值上涨
2013-04-01,600681.XSHG,卖出,市值上涨
2013-05-02,000004.XSHE,卖出,停牌
2013-05-02,002196.XSHE,卖出,市值上涨
2013-05-02,002260.XSHE,卖出,市值上涨
2013-05-02,300013.XSHE,卖出,市值上涨
2013-05-02,300018.XSHE,卖出,市值上涨
2013-05-02,300081.XSHE,卖出,市值上涨
2013-05-02,300085.XSHE,卖出,市值上涨
2013-05-02,300120.XSHE,卖出,市值上涨
2013-05-02,300268.XSHE,卖出,停牌
2013-05-02,300299.XSHE,卖出,市值上涨
2013-05-02,300302.XSHE,卖出,市值上涨
2013-05-02,300308.XSHE,卖出,市值上涨
2013-05-02,300317.XSHE,卖出,市值上涨
2013-05-02,600476.XSHG,卖出,市值上涨
2013-05-02,600566.XSHG,卖出,市值上涨
2013-06-03,000721.XSHE,卖出,市值上涨
2013-06-03,002057.XSHE,卖出,市值上涨
2013-06-03,002071.XSHE,卖出,停牌
2013-06-03,002175.XSHE,卖出,市值上涨
2013-06-03,002199.XSHE,卖出,市值上涨
2013-06-03,002579.XSHE,卖出,市值上涨
2013-06-03,300220.XSHE,卖出,市值上涨
2013-06-03,300226.XSHE,卖出,市值上涨
2013-06-03,300279.XSHE,卖出,停牌
2013-06-03,300282.XSHE,卖出,市值上涨
2013-06-03,300327.XSHE,卖出,市值上涨
2013-06-03,300330.XSHE,卖出,市值上涨
2013-06-03,300350.XSHE,卖出,市值上涨
2013-06-03,600455.XSHG,卖出,停牌
2013-06-03,600892.XSHG,卖出,涨停
2013-07-01,002098.XSHE,卖出,市值上涨
2013-07-01,002141.XSHE,卖出,市值上涨
2013-07-01,002280.XSHE,卖出,停牌
2013-07-01,002373.XSHE,卖出,停牌
2013-07-01,002402.XSHE,卖出,停牌
2013-07-01,002553.XSHE,卖出,市值上涨
2013-07-01,002599.XSHE,卖出,市值上涨
2013-07-01,300025.XSHE,卖出,市值上涨
2013-07-01,300097.XSHE,卖出,市值上涨
2013-07-01,300248.XSHE,卖出,市值上涨
2013-07-01,300250.XSHE,卖出,涨停
2013-07-01,300264.XSHE,卖出,市值上涨
2013-07-01,300286.XSHE,卖出,市值上涨
2013-07-01,300292.XSHE,卖出,停牌
2013-07-01,300308.XSHE,卖出,市值上涨
2013-07-01,300313.XSHE,卖出,市值上涨
