date,退市,戴帽,停牌,涨停,市值上涨
2013-01-04,0,0,0,3,12
2013-02-01,0,0,1,4,14
2013-03-01,0,0,1,3,13
2013-04-01,0,0,2,0,11
2013-05-02,0,0,2,0,13
2013-06-03,0,0,3,1,11
2013-07-01,0,0,4,1,15
2013-08-01,0,0,4,6,10
2013-09-02,0,0,5,0,14
2013-10-08,0,0,3,2,12
2013-11-01,0,0,2,1,16
2013-12-02,0,0,5,0,16
2014-01-02,0,0,4,2,19
2014-02-07,0,0,6,1,15
2014-03-03,0,0,1,0,18
2014-04-01,0,1,7,1,14
2014-05-05,0,2,4,0,19
2014-06-03,0,0,4,0,13
2014-07-01,0,0,10,1,9
2014-08-01,0,0,4,0,19
2014-09-01,0,0,7,2,15
2014-10-08,0,0,8,1,16
2014-11-03,0,0,5,0,17
2014-12-01,0,0,5,0,23
2015-01-05,0,0,6,1,21
2015-02-02,0,0,4,0,16
2015-03-02,0,0,6,2,10
2015-04-01,0,0,7,2,16
2015-05-04,0,2,5,3,23
2015-06-01,0,0,6,13,28
2015-07-01,0,0,5,0,37
2015-08-03,0,0,11,1,26
2015-09-01,0,0,6,0,32
2015-10-08,0,0,4,9,24
2015-11-02,0,0,6,3,22
2015-12-01,0,0,2,3,28
2016-01-04,0,0,5,0,28
2016-02-01,0,0,4,0,24
2016-03-01,0,3,4,1,17
2016-04-01,0,1,11,1,16
2016-05-03,0,3,7,0,10
2016-06-01,0,0,6,1,18
2016-07-01,0,0,2,0,23
2016-08-01,0,0,4,0,16
2016-09-01,0,0,3,2,12
2016-10-10,0,0,1,1,15
2016-11-01,0,0,1,1,12
2016-12-01,0,0,4,1,14
2017-01-03,0,0,0,1,20
2017-02-03,0,0,3,0,18
2017-03-01,0,0,4,1,13
2017-04-05,0,0,5,2,12
2017-05-02,0,2,1,0,19
2017-06-01,0,0,3,1,28
2017-07-03,0,0,2,0,22
2017-08-01,0,0,1,0,28
2017-09-01,0,0,1,1,22
2017-10-09,0,0,1,0,22
2017-11-01,0,0,2,0,23
2017-12-01,0,0,2,0,19
2018-01-02,0,0,0,0,15
2018-02-01,0,0,2,1,20
2018-03-01,0,0,2,1,14
2018-04-02,0,0,2,4,18
2018-05-02,0,3,4,1,11
2018-06-01,0,0,2,3,23
2018-07-02,0,1,2,1,22
2018-08-01,0,0,1,1,15
2018-09-03,0,0,0,3,14
2018-10-08,0,0,3,0,10
2018-11-01,0,0,2,4,13
2018-12-03,0,0,0,1,16
2019-01-02,0,0,0,3,9
2019-02-01,0,0,0,0,20
2019-03-01,0,0,1,1,11
2019-04-01,0,0,2,1,11
2019-05-06,0,6,2,2,13
2019-06-03,0,0,1,3,16
2019-07-01,0,0,1,2,11
2019-08-01,0,0,0,2,24
2019-09-02,0,0,0,2,11
2019-10-08,0,0,0,3,16
2019-11-01,0,0,1,2,19
2019-12-02,0,0,0,1,17
2020-01-02,0,0,0,3,14
2020-02-03,0,0,0,1,9
2020-03-02,0,0,1,2,15
2020-04-01,0,0,0,2,16
2020-05-06,0,11,5,2,9
2020-06-01,0,0,1,3,13
2020-07-01,0,3,1,0,16
2020-08-03,0,1,1,4,14
2020-09-01,0,1,3,2,17
2020-10-09,0,1,1,1,12
2020-11-02,0,0,0,0,20
2020-12-01,0,0,0,3,16
2021-01-04,0,0,1,0,20
2021-02-01,0,0,0,0,21
2021-03-01,0,0,1,4,5
2021-04-01,0,0,0,4,15
2021-05-06,0,10,0,3,10
2021-06-01,0,0,1,1,14
2021-07-01,0,0,0,2,11
2021-08-02,0,0,0,1,19
2021-09-01,0,0,0,0,16
2021-10-08,0,0,0,3,13
2021-11-01,0,0,1,3,13
2021-12-01,0,0,0,4,17
2022-01-04,0,0,0,8,15
2022-02-07,0,0,1,6,9
2022-03-01,0,0,0,4,15
