,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,全时段
策略年化收益率,13.192260937635323,0.6004420853157271,0.8049037186105625,2.721126063308871,0.21088248824822586,-0.2412808920342281,-0.15602599220448998,0.5344334285329331,0.1427830875105487,0.42484233962925044,0.4539244252166481,0.430048823414501
基准年化收益率,9.217672238026683,0.3161026810263956,0.3448426011849759,0.7616686912296353,-0.20018274898660815,-0.174081471611372,-0.3697006873801314,0.254516273629916,0.19346520424357672,0.20535312388954363,-0.4941402636070332,0.09725179549457219
超额年化收益率,3.97458869960864,0.28433940428933147,0.46006111742558664,1.9594573720792356,0.411065237234834,-0.0671994204228561,0.21367469517564142,0.27991715490301705,-0.050682116733028026,0.2194892157397068,0.9480646888236813,0.3327970279199288
策略年化波动率,0.2620792496830149,0.24791991402922345,0.2294289185886741,0.5747903108018181,0.3642084879908613,0.24680079136250965,0.3169733507473916,0.2600691853076811,0.2722460718281424,0.22311339723423027,0.3301452099724676,0.32355356955063674
基准年化波动率,0.23093487630224777,0.24006749521857845,0.212491934300137,0.4652659317449526,0.3186100836695565,0.1634182770314041,0.24968089329319712,0.2503477595656865,0.2745096760737054,0.19053184996572525,0.26821909567343494,0.27697827128545227
超额年化波动率,0.08652548095860745,0.0721794293634908,0.07946697664588614,0.15899281251826058,0.08459878688436723,0.11379361606462336,0.12205829787657121,0.0911568413228799,0.13502046460957576,0.18297122028968255,0.22992046100034902,0.12621033882369126
策略夏普比率(rf=2%),50.26060229326506,2.3412483325050997,3.42111937518111,4.6993242797375405,0.5241022506126093,-1.0586712084340506,-0.5553337269188032,1.9780637522446969,0.45100040079937875,1.8145138061980042,1.3143441495117714,1.2673290051597703
基准夏普比率(rf=2%),39.82799127312742,1.2334142977448812,1.5287290891999117,1.5940747873975005,-0.6910727571791753,-1.1876362616041738,-1.5607949901176892,0.9367620227029969,0.6319092526159318,0.9728196305388668,-1.9168667402898671,0.27890922683590913
信息比率,45.93547074890028,3.939341261031826,5.789337116418448,12.324188377095277,4.858996829312615,-0.5905377010314319,1.7505954031221644,3.0707202097047572,-0.3753661852636938,1.1995832754036864,4.123446363576325,2.636844421952052
策略最大回撤,0.023613915682288433,0.14407641894449175,0.1595434748826433,0.5551219025816579,0.2797984446395888,0.2907036539624154,0.3121517921414825,0.15399356722472568,0.18736058708613923,0.18504591531263415,0.1178691854269136,0.5551219025816578
策略最大回撤起始,2012-12-26 00:00:00,2013-05-30 00:00:00,2014-12-04 00:00:00,2015-06-12 00:00:00,2016-01-04 00:00:00,2017-01-05 00:00:00,2018-05-22 00:00:00,2019-04-19 00:00:00,2020-01-14 00:00:00,2021-01-04 00:00:00,2022-01-17 00:00:00,2015-06-12 00:00:00
策略最大回撤终止,2012-12-27 00:00:00,2013-06-25 00:00:00,2014-12-23 00:00:00,2015-07-08 00:00:00,2016-01-28 00:00:00,2017-07-17 00:00:00,2018-10-18 00:00:00,2019-05-06 00:00:00,2020-02-04 00:00:00,2021-02-08 00:00:00,2022-01-27 00:00:00,2015-07-08 00:00:00
基准最大回撤,0.02134573583940691,0.1486477799085899,0.13589823764223696,0.5312047866065772,0.26866977785172996,0.19954997722691292,0.4227495198928102,0.22208652795308403,0.15667518850912565,0.11195828462625901,0.18909860929777655,0.7234872372733581
基准最大回撤起始,2012-12-10 00:00:00,2013-05-30 00:00:00,2014-02-18 00:00:00,2015-06-12 00:00:00,2016-01-06 00:00:00,2017-01-05 00:00:00,2018-01-08 00:00:00,2019-04-04 00:00:00,2020-02-25 00:00:00,2021-01-05 00:00:00,2022-01-04 00:00:00,2015-06-12 00:00:00
基准最大回撤终止,2012-12-13 00:00:00,2013-06-28 00:00:00,2014-04-28 00:00:00,2015-09-15 00:00:00,2016-01-28 00:00:00,2017-12-25 00:00:00,2018-10-18 00:00:00,2019-08-09 00:00:00,2020-04-01 00:00:00,2021-02-05 00:00:00,2022-03-15 00:00:00,2018-10-18 00:00:00
超额最大回撤,0.01968470743935513,0.04489383563998539,0.10257377110930299,0.1834505781239908,0.0610452869571293,0.15552472982877708,0.09028253857025648,0.059819878127521986,0.15243548863008716,0.10290244586460073,0.042062140619977706,0.19546251519385227
超额最大回撤起始,2012-12-26 00:00:00,2013-03-11 00:00:00,2014-12-02 00:00:00,2015-06-15 00:00:00,2016-04-29 00:00:00,2017-01-03 00:00:00,2018-01-18 00:00:00,2019-01-10 00:00:00,2020-01-02 00:00:00,2021-01-04 00:00:00,2022-01-13 00:00:00,2020-11-30 00:00:00
超额最大回撤终止,2012-12-31 00:00:00,2013-04-22 00:00:00,2014-12-22 00:00:00,2015-07-08 00:00:00,2016-05-13 00:00:00,2017-08-10 00:00:00,2018-02-06 00:00:00,2019-03-05 00:00:00,2020-07-13 00:00:00,2021-02-09 00:00:00,2022-01-18 00:00:00,2021-02-09 00:00:00
策略卡玛比率,558.6646922572926,4.167525051737017,5.045043172104858,4.901853179732169,0.753694283468465,-0.82998919602649,-0.49984012948985845,3.4704919053730627,0.7620764309673305,2.295875263777001,3.8510864699078637,0.7746925880865263
基准卡玛比率,431.8273357908657,2.126521373011969,2.5375060572367523,1.433851332732333,-0.7450884524015293,-0.8723702905434056,-0.8745147421429845,1.1460230207375874,1.2348171148510103,1.8341931959305808,-2.6131353659449856,0.13442088606993235
超额卡玛比率,201.91251060517905,6.333595698294047,4.485173085187087,10.681118544935167,6.733775164715266,-0.4320818978231849,2.3667333524229943,4.679333420009636,-0.33248239756043646,2.132983466967454,22.539620543548644,1.7026130436819225
