,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,全时段
策略年化收益率,12.588495715144767,0.6134739667806597,0.8081494273404686,2.711690772866232,0.21797810742570678,-0.23957981111845916,-0.1521229081868699,0.5340336408091175,0.1344967478822079,0.42765858409617996,0.4217462532968068,0.4309084695327714
基准年化收益率,9.217672238026683,0.3161026810263956,0.3448426011849759,0.7616686912296353,-0.20018274898660815,-0.174081471611372,-0.3697006873801314,0.254516273629916,0.19346520424357672,0.20535312388954363,-0.4941402636070332,0.09725179549457219
超额年化收益率,3.3708234771180834,0.2973712857542641,0.4633068261554927,1.9500220816365965,0.41816085641231493,-0.06549833950708717,0.2175777791932615,0.2795173671792015,-0.058968456361368826,0.22230546020663633,0.91588651690384,0.3336566740381992
策略年化波动率,0.261583576334289,0.2479459206507088,0.2293599095629852,0.5753509364303767,0.3650961241461864,0.24694854955668968,0.3169834656042952,0.2603720165067794,0.27267553823811397,0.2227481211518328,0.3300779636876713,0.32380068420117347
基准年化波动率,0.23093487630224777,0.24006749521857845,0.212491934300137,0.4652659317449526,0.3186100836695565,0.1634182770314041,0.24968089329319712,0.2503477595656865,0.2745096760737054,0.19053184996572525,0.26821909567343494,0.27697827128545227
超额年化波动率,0.08688881176102474,0.0703406945875781,0.0792166619195012,0.15979821283926537,0.08501458367647464,0.11393554453311422,0.12183442754068696,0.09098719938524696,0.13592199697131266,0.1828805735887799,0.22870178548512216,0.12620738197866993
策略夏普比率(rf=2%),48.04772490411607,2.393562133319829,3.4362998696772356,4.678346036188217,0.542262966742521,-1.051149365260272,-0.543002796245968,1.9742276750993841,0.41990106124673193,1.830132537092449,1.2171253385365344,1.2690166808834749
基准夏普比率(rf=2%),39.82799127312742,1.2334142977448812,1.5287290891999117,1.5940747873975005,-0.6910727571791753,-1.1876362616041738,-1.5607949901176892,0.9367620227029969,0.6319092526159318,0.9728196305388668,-1.9168667402898671,0.27890922683590913
信息比率,38.79467803506223,4.227585290390048,5.848603247461982,12.203028100183108,4.91869557349875,-0.5748718696653153,1.785848085678416,3.0720515530509185,-0.4338404207952783,1.2155772253126573,4.00471957383744,2.6437175766358094
策略最大回撤,0.023618254619850787,0.1436479790618589,0.1595408053204339,0.5555016544575676,0.2799898987202405,0.2918976970516043,0.3112936088938567,0.15458906203162015,0.192456488162693,0.1840025687129867,0.11786487145818281,0.5555016544575676
策略最大回撤起始,2012-12-26 00:00:00,2013-05-30 00:00:00,2014-12-04 00:00:00,2015-06-12 00:00:00,2016-01-04 00:00:00,2017-01-05 00:00:00,2018-05-22 00:00:00,2019-04-19 00:00:00,2020-01-14 00:00:00,2021-01-04 00:00:00,2022-01-17 00:00:00,2015-06-12 00:00:00
策略最大回撤终止,2012-12-27 00:00:00,2013-06-25 00:00:00,2014-12-23 00:00:00,2015-07-08 00:00:00,2016-01-28 00:00:00,2017-07-17 00:00:00,2018-10-18 00:00:00,2019-05-06 00:00:00,2020-02-04 00:00:00,2021-02-08 00:00:00,2022-01-27 00:00:00,2015-07-08 00:00:00
基准最大回撤,0.02134573583940691,0.1486477799085899,0.13589823764223696,0.5312047866065772,0.26866977785172996,0.19954997722691292,0.4227495198928102,0.22208652795308403,0.15667518850912565,0.11195828462625901,0.18909860929777655,0.7234872372733581
基准最大回撤起始,2012-12-10 00:00:00,2013-05-30 00:00:00,2014-02-18 00:00:00,2015-06-12 00:00:00,2016-01-06 00:00:00,2017-01-05 00:00:00,2018-01-08 00:00:00,2019-04-04 00:00:00,2020-02-25 00:00:00,2021-01-05 00:00:00,2022-01-04 00:00:00,2015-06-12 00:00:00
基准最大回撤终止,2012-12-13 00:00:00,2013-06-28 00:00:00,2014-04-28 00:00:00,2015-09-15 00:00:00,2016-01-28 00:00:00,2017-12-25 00:00:00,2018-10-18 00:00:00,2019-08-09 00:00:00,2020-04-01 00:00:00,2021-02-05 00:00:00,2022-03-15 00:00:00,2018-10-18 00:00:00
超额最大回撤,0.0196707742103287,0.0449122047872168,0.10256858774736011,0.18420018044236264,0.061041457787447406,0.15744655573495048,0.09052034357191818,0.05908374021434748,0.15592862336779267,0.10175374059589726,0.04205046805483725,0.1944796868233003
超额最大回撤起始,2012-12-26 00:00:00,2013-03-11 00:00:00,2014-12-02 00:00:00,2015-06-15 00:00:00,2016-04-29 00:00:00,2017-01-10 00:00:00,2018-01-18 00:00:00,2019-01-10 00:00:00,2020-01-02 00:00:00,2021-01-04 00:00:00,2022-01-13 00:00:00,2020-11-30 00:00:00
超额最大回撤终止,2012-12-31 00:00:00,2013-04-22 00:00:00,2014-12-22 00:00:00,2015-07-08 00:00:00,2016-05-13 00:00:00,2017-08-10 00:00:00,2018-02-06 00:00:00,2019-03-05 00:00:00,2020-02-25 00:00:00,2021-02-09 00:00:00,2022-01-18 00:00:00,2021-02-09 00:00:00
策略卡玛比率,532.998560552579,4.270675931448228,5.065471656090238,4.881517005586824,0.7785213267408104,-0.8207663627990326,-0.4886798310039831,3.4545370402718696,0.6988423677798336,2.324198988565513,3.5782184129937127,0.7757105061253903
基准卡玛比率,431.8273357908657,2.126521373011969,2.5375060572367523,1.433851332732333,-0.7450884524015293,-0.8723702905434056,-0.8745147421429845,1.1460230207375874,1.2348171148510103,1.8341931959305808,-2.6131353659449856,0.13442088606993235
超额卡玛比率,171.36201356772915,6.621168726031989,4.517044022256387,10.58642872636474,6.85044020194265,-0.4160036350198015,2.40363404078771,4.730867852393093,-0.37817595697153356,2.184739930981955,21.780649758986012,1.7156376559848734
