,nominal,by_value
2012-12-04,1.0,1.0
2013-01-07,0.3,0.3558105580394995
2013-02-04,0.38,0.43760704088896585
2013-03-04,0.34,0.38379885681069226
2013-04-02,0.26,0.30671248157131387
2013-05-03,0.3,0.356650899272274
2013-06-04,0.3,0.3485003683210678
2013-07-02,0.4,0.4790878754360326
2013-08-02,0.4,0.47545894249546683
2013-09-03,0.38,0.4276386522600127
2013-10-09,0.34,0.3899117042887666
2013-11-04,0.38,0.4424822539892327
2013-12-03,0.42,0.47558918110095805
2014-01-03,0.5,0.5644701755128886
2014-02-10,0.44,0.492258009641353
2014-03-04,0.38,0.4233838712966006
2014-04-02,0.46,0.5126762030916195
2014-05-06,0.5,0.5647410532568417
2014-06-04,0.34,0.38167101930362607
2014-07-02,0.4,0.4439606058733426
2014-08-04,0.46,0.5031840734520794
2014-09-02,0.48,0.5256747944464455
2014-10-09,0.5,0.5444985848904813
2014-11-04,0.44,0.48716711984348543
2014-12-02,0.56,0.6242709351832157
2015-01-06,0.56,0.618706620455284
2015-02-03,0.4,0.439215829581745
2015-03-03,0.36,0.40590688747397635
2015-04-02,0.5,0.5761708112030912
2015-05-05,0.66,0.7496309975271314
2015-06-02,0.94,1.0418239488865453
2015-07-02,0.84,0.9752122172024581
2015-08-04,0.76,0.858737046921741
2015-09-02,0.76,0.8591439619334741
2015-10-09,0.74,0.7964172052702037
2015-11-03,0.62,0.6875577344235364
2015-12-02,0.66,0.7352988093491594
2016-01-05,0.66,0.722246021904952
2016-02-02,0.56,0.6053472032529319
2016-03-02,0.5,0.5696645008296779
2016-04-05,0.58,0.6200669083682886
2016-05-04,0.4,0.4352847734266374
2016-06-02,0.5,0.5596465979958611
2016-07-04,0.5,0.5535041061465164
2016-08-02,0.4,0.4447705422133454
2016-09-02,0.34,0.37242546653676356
2016-10-11,0.34,0.385646835815179
2016-11-02,0.28,0.3162597963702513
2016-12-02,0.38,0.4205031416787394
2017-01-04,0.42,0.4740779851567981
2017-02-06,0.42,0.4627641222312812
2017-03-02,0.36,0.3918143533275245
2017-04-06,0.38,0.42859881959089313
2017-05-03,0.44,0.4922321011963201
2017-06-02,0.64,0.7027038677615745
2017-07-04,0.48,0.5136904135256246
2017-08-02,0.58,0.6407088413614885
2017-09-04,0.48,0.5327583138066192
2017-10-10,0.46,0.5060685889497419
2017-11-02,0.5,0.5525739441641782
2017-12-04,0.42,0.47541523056101476
2018-01-03,0.3,0.3424397813583971
2018-02-02,0.46,0.5106396650151623
2018-03-02,0.34,0.3791552336578107
2018-04-03,0.48,0.5492790996117165
2018-05-03,0.38,0.42177620818753725
2018-06-04,0.56,0.6341876281564949
2018-07-03,0.52,0.5830996547592493
2018-08-02,0.34,0.3893548089888623
2018-09-04,0.34,0.388691213720781
2018-10-09,0.26,0.30311393271523523
2018-11-02,0.38,0.4519481996384467
2018-12-04,0.34,0.3959329884634773
2019-01-03,0.24,0.29445472597281697
2019-02-11,0.4,0.44706667633763414
2019-03-04,0.26,0.3029187856125591
2019-04-02,0.28,0.3394316203160658
2019-05-07,0.46,0.5582204459460569
2019-06-04,0.4,0.46253751438781976
2019-07-02,0.28,0.3129859947326521
2019-08-02,0.52,0.5879168630878565
2019-09-03,0.26,0.3078026895689534
2019-10-09,0.38,0.4255362648396571
2019-11-04,0.44,0.4956068349226769
2019-12-03,0.36,0.4133441710485866
2020-01-03,0.34,0.3825959761971319
2020-02-04,0.2,0.262823127342686
2020-03-03,0.36,0.40563521842362515
2020-04-02,0.36,0.4240813258245067
2020-05-07,0.54,0.5721617047640007
2020-06-02,0.34,0.3894120028571324
2020-07-02,0.4,0.4369041741437509
2020-08-04,0.4,0.4500742806126053
2020-09-02,0.46,0.5480724780667885
2020-10-12,0.3,0.34115281170283784
2020-11-03,0.4,0.4761041167871676
2020-12-02,0.38,0.4250748736545348
2021-01-05,0.42,0.47772550667721425
2021-02-02,0.42,0.4980076927357133
2021-03-02,0.2,0.2604962458395309
2021-04-02,0.38,0.4419491624280736
2021-05-07,0.46,0.5092136904878802
2021-06-02,0.32,0.3833755523778456
2021-07-02,0.26,0.3160828421650105
2021-08-03,0.4,0.47541999252131634
2021-09-02,0.32,0.37050005446186807
2021-10-11,0.32,0.3705427756712433
2021-11-02,0.34,0.3864063909298876
2021-12-02,0.42,0.47663886586332
2022-01-05,0.46,0.5245121652945877
2022-02-08,0.32,0.38043050169706016
2022-03-02,0.38,0.43972402440516345
